english,hindi,link
Mohair,महीन चिकना ऊन,https://en.wikipedia.org/wiki/Mohair
Sprayers,स्प्रेयरस,https://en.wikipedia.org/wiki/Agricultural_machinery#Sprayers
"Weather alerts (eg: cyclone , thunderstorm)","मौसम अलर्ट (जैसे: चक्रवात, गरज)",https://www.imdtvm.gov.in/
Permanent crop Types ,स्थायी फसल के प्रकार,https://fabioclass.com/what-is-permanent-crop-and-list-of-permanent-crops/
Soybeans,सोयाबीन,https://en.wikipedia.org/wiki/Soybean
Farming Systems in India,भारत में कृषि प्रणाली,https://en.wikipedia.org/wiki/Farming_Systems_in_India
Sesame oil,तिल का तेल,https://en.wikipedia.org/wiki/Sesame_oil
Cow dung,गाय का गोबर,https://en.wikipedia.org/wiki/Cow_dung
Mariculture Methods,समुद्री कृषि के तरीके,https://en.wikipedia.org/wiki/Mariculture#Methods
Silkworms,रेशम के कीड़े,https://en.wikipedia.org/wiki/Silkworm
Seed bank,बीज बैंक,https://en.wikipedia.org/wiki/Seed_bank
Bamboo Central India,बांस मध्य भारत,https://en.wikipedia.org/wiki/Bamboo#Central_India
Overharvesting,अधिक कटाई,https://en.wikipedia.org/wiki/Overharvesting
Mustard seeds (small),सरसों के बीज (छोटा),https://www.agrifarming.in/mustard-farming-information
Land degradation,भूमि अवक्रमण,https://en.wikipedia.org/wiki/Land_degradation
Farming methods/ types,खेती के तरीके / प्रकार,https://www.civilsdaily.com/the-8-major-types-of-farming-systems-in-india/
Turmeric,हल्दी,https://vikaspedia.in/agriculture/crop-production/package-of-practices/spices/turmeric
Dairy farming Concerns,डेयरी फार्मिंग चिंताएं,https://en.wikipedia.org/wiki/Dairy_farming#Concerns
Availability of seeds in the market,बाजार में बीजों की उपलब्धता,https://seednet.gov.in/material/IndianSeedSector.htm
Reforestation,वनीकरण,https://en.wikipedia.org/wiki/Urban_reforestation
Food industry,खाद्य उद्योग,https://en.wikipedia.org/wiki/Food_industry
Cotton seed,कपास बीज,https://en.wikipedia.org/wiki/Cottonseed_oil
Gooseberry,करौंदा,https://en.wikipedia.org/wiki/Gooseberry
Bulk tank,बड़ा टैंक,https://en.wikipedia.org/wiki/Bulk_tank
Custard Apple,शरीफा,https://en.wikipedia.org/wiki/Custard_apple
Winnowing,सूप,https://en.wikipedia.org/wiki/Winnowing
Agricultural robots,कृषि रोबोट,https://en.wikipedia.org/wiki/Agricultural_robot
Natural rubber,प्राकृतिक रबर,https://en.wikipedia.org/wiki/Natural_rubber
Coffee Cultivation,कॉफी की खेती,https://en.wikipedia.org/wiki/Coffee#Cultivation
Worker bee,कार्यकर्ता मधुमक्खी,https://en.wikipedia.org/wiki/Worker_bee
Hemp seed,भाँग का बीज,https://cablevey.com/the-guide-to-industrial-hemp-processing-equipment-in-2020/
Measures to follow during pest attack,कीट के हमले के दौरान पालन करने के उपाय,https://pesticidestewardship.org/ipm/taking-action/
Plant growth regulators,संयंत्र विकास नियामक,https://en.wikipedia.org/wiki/Plant_growth_regulators
Transportation- harvesting,परिवहन- कटाई,http://fruitsandnuts.ucdavis.edu/files/74183.pdf
Yarn,धागा,https://en.wikipedia.org/wiki/Yarn
Sheep Products,भेड़ उत्पाद,http://www.sheep101.info/products.html
Olive,जैतून,https://en.wikipedia.org/wiki/Olive
Fruticulture,फलों की खेती,https://en.wikipedia.org/?title=Fruticulture&redirect=no
Surface irrigation,सतही सिंचाई,https://en.wikipedia.org/wiki/Surface_irrigation
Agri: Advice on selling produce,कृषि : उपज बेचने की सलाह,https://www.profitableplantsdigest.com/9-tips-for-selling-your-crops-at-farmers-markets/
Diary Production in india,भारत में डायरी उत्पादन,https://www.nddb.coop/information/stats/milkprodindia
Fishery,मछली पकड़ना,https://en.wikipedia.org/wiki/Fishery
Agricultural industries in India and worldwide,भारत और दुनिया भर में कृषि उद्योग,https://www.ibef.org/industry/agriculture-india.aspx
Balers and other Agriculture Implements,बेलर और अन्य कृषि उपकरण,https://en.wikipedia.org/wiki/Agricultural_machinery#Balers_and_other_Agriculture_Implements
Grain cart,अनाज गाड़ी,https://en.wikipedia.org/wiki/Chaser_bin
Farmer's bill india,किसान बिल भारत,https://timesofindia.indiatimes.com/india/what-are-new-farm-laws-and-and-why-farmers-are-protesting/articleshow/79609234.cms
Black-eyed beans / Cowpea,काली आंखों वाली फलियाँ / लोबिया,https://vikaspedia.in/agriculture/crop-production/package-of-practices/pulses/cowpea
Greenhouse,ग्रीन हाउस,https://en.wikipedia.org/wiki/Greenhouse
Wood economy,लकड़ी की अर्थव्यवस्था,https://en.wikipedia.org/wiki/Wood_economy
Postharvest,फसल कटाई के बाद,https://en.wikipedia.org/wiki/Postharvest
Seedling,अंकुर,https://en.wikipedia.org/wiki/Agricultural_cycle#Seedling
Sheep Nutrition,भेड़ पोषण,https://en.wikipedia.org/wiki/Sheep_farming#Nutrition
Harvestor,फ़सल काटने की मशीन,https://en.wikipedia.org/wiki/Combine_harvester
New techniques in cultivation,खेती में नई तकनीक,https://www.agrifarming.in/modern-farming-methods-techniques
Crocodile farming Effects,मगरमच्छ की खेती के प्रभाव,https://en.wikipedia.org/wiki/Crocodile_farm#Effects
Cash crop,नकदी फ़सल,https://en.wikipedia.org/wiki/Cash_crop
Colocasia Roots,कोलोकेशिया जड़ें,https://en.wikipedia.org/wiki/Colocasia
Aquaculture Genetic modification,जलीय कृषि आनुवंशिक संशोधन,https://en.wikipedia.org/wiki/Aquaculture#Genetic_modification
Animal husbandry Feeding,पशुपालन खिला,https://en.wikipedia.org/wiki/Animal_husbandry#Feeding
Groundnuts,मूंगफली,https://en.wikipedia.org/wiki/Groundnut
Micro-irrigation,माइक्रो सिंचाई,https://en.wikipedia.org/wiki/Irrigation#Micro-irrigation
Wood Uses,लकड़ी का उपयोग,https://en.wikipedia.org/wiki/Wood#Uses
Fur farming,फर की खेती,https://en.wikipedia.org/wiki/Fur_farming
Black Pepper,काली मिर्च,https://agritech.tnau.ac.in/horticulture/horti_spice%20crops_pepper.html
Deforestation,वनों की कटाई,https://en.wikipedia.org/wiki/Deforestation
Aquaculture Ecological benefits,जलीय कृषि पारिस्थितिक लाभ,https://en.wikipedia.org/wiki/Aquaculture#Ecological_benefits
Apps for buying farming tools,कृषि उपकरण खरीदने के लिए ऐप्स,https://claroenergy.in/top-10-apps-revolutionizing-indian-agriculture/
Perennial crop,बारहमासी फसल,https://en.wikipedia.org/wiki/Perennial_crop
Processing of produce,उत्पाद का प्रसंस्करण,https://produceprocessing.net/
Grapes Types in India,भारत में अंगूर के प्रकार,http://www.walkthroughindia.com/nursery/10-most-popular-variety-of-grapes-grown-in-india/
Market Price,बाजार कीमत,https://farmer.gov.in/#
Raisin,किशमिश,https://en.wikipedia.org/wiki/Raisin
Goat breeds in India,भारत में बकरी की नस्लें,http://process/procedure
Farmers' market,किसान मंडी,https://en.wikipedia.org/wiki/Farmers%27_market
Agrochemical Categories,कृषि रसायन श्रेणियाँ,https://en.wikipedia.org/wiki/Agrochemical#Categories
Beetroot,चुकंदर,https://krishijagran.com/agripedia/all-you-need-to-know-about-beetroot-cultivation/
Cocoa processing,कोको प्रसंस्करण,https://perfectdailygrind.com/2018/02/step-step-explanation-cacao-harvesting-processing/
Gaseous biofuel,गैसीय जैव ईंधन,https://en.wikipedia.org/wiki/Biofuel#Gaseous_biofuel
Buckwheat Millet (Kuttu),एक प्रकार का अनाज बाजरा (कुट्टू),"https://www.agrifarming.in/buckwheat-cultivation-kuttu-farming-practices#:~:text=Buckwheat%20is%20a%20herbaceous%20plant,family%20and%20its%20edible%20seeds.&text=Buckwheat%20is%20notable%20for%20being,requiring%20only%20moderate%20soil%20fertility."
Cattle Nutrition,मवेशी पोषण,https://en.wikipedia.org/wiki/Dairy_cattle#Nutrition
Groundwater,भूजल,https://en.wikipedia.org/wiki/Water_resources#Groundwater
Other crops harvesting,अन्य फसल कटाई,https://agriculture.gov.tt/publications/how-and-when-to-harvest-crops/
Agroforestry Applications,कृषि वानिकी अनुप्रयोग,https://en.wikipedia.org/wiki/Agroforestry#Applications
Apiology,अपियोलॉजी,https://en.wikipedia.org/wiki/Apiology
Blue Water Lily,नीला पानी लिली,https://homeguides.sfgate.com/germinate-blue-lotus-seeds-68660.html
Bougainvillea,bougainvillea,https://www.hgtv.com/outdoors/flowers-and-plants/flowers/bougainvillea-care
Micronutrients,सूक्ष्म पोषक,https://en.wikipedia.org/wiki/Fertilizer#Micronutrients
Agriculture schemes,कृषि योजनाएं,https://agricoop.nic.in/en/ministry-major-schemes
Cashmere wool Gathering,कश्मीरी ऊन इकट्ठा करना,https://en.wikipedia.org/wiki/Cashmere_wool#Gathering
Plant fibers,पौधे के रेशे,https://en.wikipedia.org/wiki/Natural_fiber#Plant_fibers
Gharials,घड़ियाल,https://en.wikipedia.org/wiki/Gharial
Dahlia,मेक्सिको का रंगीन फूलों का बड़ा पौधा,https://www.almanac.com/plant/dahlias
Farmer,किसान,https://en.wikipedia.org/wiki/Farmer
Organic food,कार्बनिक खाद्य,https://en.wikipedia.org/wiki/Organic_food
Pest: Preventative measures,कीट: निवारक उपाय,https://en.wikipedia.org/wiki/Pest_control
Dry fruits,सूखे मेवे,https://en.wikipedia.org/wiki/Dried_fruit
Bamboo Cultivation,बांस की खेती,https://en.wikipedia.org/wiki/Bamboo#Cultivation
Netting,जाल,https://en.wikipedia.org/wiki/Fishing_techniques#Netting
Horse gram,चने की दाल,https://vikaspedia.in/agriculture/crop-production/package-of-practices/pulses/horse-gram
Types of aeroponics,एरोपोनिक्स के प्रकार,https://en.wikipedia.org/wiki/Aeroponics#Types_of_aeroponics
Watermelon,तरबूज,https://agritech.tnau.ac.in/horticulture/horti_vegetables_watermelon.html
Mechanical tree shaker,मैकेनिकल ट्री शेकर,https://en.wikipedia.org/wiki/Mechanical_tree_shaker
Natural fibers Properties,प्राकृतिक फाइबर गुण,https://en.wikipedia.org/wiki/Natural_fiber#Properties
Urban agriculture,शहरी कृषि,https://en.wikipedia.org/wiki/Urban_agriculture
History of cotton,कपास का इतिहास,https://en.wikipedia.org/wiki/Cotton#History
Jackfruit,कटहल,https://en.wikipedia.org/wiki/Jackfruit
Fig,अंजीर,https://www.britannica.com/plant/fig
Organic farming,जैविक खेती,https://en.wikipedia.org/wiki/Organic_farming
Coffee Production,कॉफी उत्पादन,https://en.wikipedia.org/wiki/Coffee#Production
Jackfruit (Raw),कटहल (कच्चा),"https://www.agrifarming.in/jackfruit-farming#:~:text=Jackfruit%20cultivation%20is%20growing%20day,it%20spread%20across%20tropical%20regions.&text=Wild%20jack%20fruit%20is%20grown,to%20prepare%20some%20special%20dishes."
Tomato,टमाटर,https://en.wikipedia.org/wiki/Tomato
Indian sheep breeds and description,भारतीय भेड़ की नस्लें और विवरण,https://krishijagran.com/animal-husbandry/best-sheep-breeds-in-india-for-highest-wool-meat/
Lumber uses,लकड़ी का उपयोग करता है,https://allusesof.com/plant/57-uses-of-lumber-you-probably-didnt-know/
irrigation Efficiency,सिंचाई क्षमता,https://en.wikipedia.org/wiki/Irrigation#Efficiency
Drip irrigation,टपकन सिंचाई,https://en.wikipedia.org/wiki/Drip_irrigation
Jute Types,जूट के प्रकार,https://aicrp.icar.gov.in/ainpjaf/achievements/details-of-varieties/
Buffalo milk,भैंस का दूध,https://agritech.tnau.ac.in/animal_husbandry/animhus_buffalo%20milking.html
Hemp Uses,गांजा उपयोग,https://en.wikipedia.org/wiki/Hemp#Uses
Haulm topper,हाउल टॉपर,https://en.wikipedia.org/wiki/Potato_harvester#Haulm_topper
Cotton products,कपास उत्पाद,https://en.wikipedia.org/wiki/Cotton
Agricultural pollution,कृषि प्रदूषण,https://en.wikipedia.org/wiki/Agricultural_pollution
Tea procedure/ harvesting,चाय की प्रक्रिया/कटाई,https://en.wikipedia.org/wiki/Indian_Tea_Association
Arid-zone agriculture,शुष्क क्षेत्र कृषि,https://en.wikipedia.org/wiki/Arid-zone_agriculture
Phosphate fertilizers,फॉस्फेट उर्वरक,https://en.wikipedia.org/wiki/Fertilizer#Phosphate_fertilizers
Pradhan Mantri Kisan Samman Nidhi,प्रधानमंत्री किसान सम्मान निधि,https://vikaspedia.in/schemesall/schemes-for-farmers/pradhan-mantri-kisan-samman-nidhi
Crop failure,फसल की विफलता,https://en.wikipedia.org/wiki/Harvest#Crop_failure
Clove,लौंग,"https://vikaspedia.in/agriculture/crop-production/package-of-practices/spices/clove#:~:text=Clove%20grows%20well%20in%20rich,rainfall%20is%20ideal%20for%20flowering."
Kharif,खरीफ,https://en.wikipedia.org/wiki/Kharif_crop
Soil health,मृदा स्वास्थ्य,https://www.nrcs.usda.gov/wps/portal/nrcs/main/soils/health/
Frangipani,फ्रांगीपानी,https://www.bhg.com.au/frangipani-how-to-grow
Peasant,किसान,https://en.wikipedia.org/wiki/Peasant
Eligibility for financial aid in agri ,कृषि में वित्तीय सहायता के लिए पात्रता,https://www.creditmantri.com/loan-for-agriculture/
Grazing,चराई,https://en.wikipedia.org/wiki/Grazing
Fertilizers,उर्वरक,https://en.wikipedia.org/wiki/Fertilizers
Yam,रतालू,https://en.wikipedia.org/wiki/Yam_(vegetable)
Sericulture departments,रेशम उत्पादन विभाग,https://cdn.s3waas.gov.in/s3d4c2e4a3297fe25a71d030b67eb83bfc/uploads/2018/09/2018092874.pdf
Social factors-sustainable agriculture,सामाजिक कारक-टिकाऊ कृषि,https://en.wikipedia.org/wiki/Sustainable_agriculture#Social_factors
Cashmere Production in India and worldwide,भारत और दुनिया भर में कश्मीरी उत्पादन,https://www.mdpi.com/2071-1050/12/24/10359/pdf
Spiny Gourd,काँटेदार लौकी,"https://www.agrifarming.in/spine-gourd-farming#:~:text=Spine%20gourd%2FKantola%20can%20be%20cultivated%20as%20summer%20as%20well,would%20be%20in%20April%20month."
Land use,भूमि उपयोग,https://en.wikipedia.org/wiki/Land_use
Crustaceans production in India,भारत में क्रस्टेशियंस का उत्पादन,http://www.ciba.res.in/?page_id=1463
Fenugreek Leaves,कसूरी मेथी,https://en.wikipedia.org/wiki/Fenugreek
Vertical farming,खड़ी खेती,https://en.wikipedia.org/wiki/Vertical_farming
Paper Source,पेपर स्रोत,https://en.wikipedia.org/wiki/Paper#Early_sources_of_fibre
Pradhan Mantri Fasal Bima Yojana (PMFBY),प्रधानमंत्री फसल बीमा योजना (पीएमएफबीवाई),https://vikaspedia.in/agriculture/agri-insurance/pradhan-mantri-fasal-bima-yojana
Names of soil types,मिट्टी के प्रकार . के नाम,https://www.clearias.com/soils-of-india-classification-characteristics/
Subirrigation,उप-सिंचाई,https://en.wikipedia.org/wiki/Subirrigation
Rabi,रबी,https://en.wikipedia.org/wiki/Rabi_crop
Fish diseases,मछली रोग,https://en.wikipedia.org/wiki/Fish_disease_and_parasites
Bitter Gourd,करेला,https://agritech.tnau.ac.in/horticulture/horti_vegetables_bittergourd.html
Rainfall,वर्षा,https://mausam.imd.gov.in/imd_latest/contents/index_rainfall_state_new.php
Sheep in India and worldwide,भारत और दुनिया भर में भेड़ें,https://dahd.nic.in/sites/default/filess/NAP%20on%20Sheep.pdf
Forestry engineers‎,वानिकी इंजीनियर‎,https://www.forestry.oregonstate.edu/undergraduate-programs/forest-engineering-degree
Peach,आडू,https://en.wikipedia.org/wiki/Peach
Cultured pearls,संवर्धित मोती,https://en.wikipedia.org/wiki/Cultured_pearl
Plant milk,पौधे का दूध,https://en.wikipedia.org/wiki/Plant_milk
Wildlife farming,वन्यजीव खेती,https://en.wikipedia.org/wiki/Wildlife_farming
Fishing industry,मछली पकड़ने का उद्योग,https://en.wikipedia.org/wiki/Fishing#Fishing_industry
Green Cardamom,हरी इलायची,"https://www.indiaagronet.com/indiaagronet/crop%20info/Cardamom.htm#:~:text=Cardamom%20(%20Elettaria%20cardamomum%20L.),Kerala%2C%20Karnataka%20and%20Tamil%20Nadu."
Plant nutrition,पौध पोषण,https://en.wikipedia.org/wiki/Plant_nutrition
Chickpeas (White),चना (सफेद),https://en.wikipedia.org/wiki/Chickpea#Regional_cultivation
Pomegranate,अनार,https://agricultureguruji.com/pomegranate-farming/
Grocery store,किराने की दुकान,https://en.wikipedia.org/wiki/Grocery_store
Crocodiles,मगरमच्छ,https://en.wikipedia.org/wiki/Crocodile
Storage after harvesting,कटाई के बाद भंडारण,"https://www.growveg.com/guides/storing-and-preserving-your-garden-harvest/#:~:text=Storing%20the%20crop%20in%20a,can%20circulate%20between%20the%20levels."
e-Commerce,ई-कॉमर्स,http://www.businessworld.in/article/E-Commerce-In-Agriculture-Marketing-A-New-Frontier/04-10-2017-127543/
Seedlings Vs Seeds,बीज बनाम बीज,http://www.differencebetween.net/science/difference-between-seeds-and-seedlings/
Apple,सेब,https://agritech.tnau.ac.in/horticulture/horti_fruits_apple.html
Types of seeds,बीज के प्रकार,https://vikaspedia.in/agriculture/agri-inputs/seeds/classes-of-seeds
FAO,एफएओ,https://en.wikipedia.org/wiki/Food_and_Agriculture_Organization
Floriculture,फूलों की खेती,https://en.wikipedia.org/wiki/Floriculture
Sugarcane production in India and worldwide,भारत और दुनिया भर में गन्ना उत्पादन,https://en.wikipedia.org/wiki/Sugar_industry_of_India
Agricultural economics,कृषि अर्थशास्त्र,https://en.wikipedia.org/wiki/Agricultural_economics
Soil degradation/ erosion,मिट्टी का क्षरण/क्षरण,https://www.worldwildlife.org/threats/soil-erosion-and-degradation
Midday Meal Scheme,मध्याह्न भोजन योजना,https://en.wikipedia.org/wiki/Midday_Meal_Scheme
Crocodile farming Concerns,मगरमच्छ की खेती की चिंता,https://en.wikipedia.org/wiki/Crocodile_farm#Concerns
Controlling other organisms,अन्य जीवों को नियंत्रित करना,https://en.wikipedia.org/wiki/Organic_farming#Controlling_other_organisms
Insecticides,कीटनाशकों,https://en.wikipedia.org/wiki/Insecticides
Silkworm diseases,रेशमकीट रोग,https://en.wikipedia.org/wiki/Bombyx_mori#Silkworm_diseases
Cocoa,कोको,https://en.wikipedia.org/wiki/Cocoa_bean
Guava,अमरूद,https://en.wikipedia.org/wiki/Guava
Other techniques in fishing,मछली पकड़ने में अन्य तकनीकें,https://en.wikipedia.org/wiki/Fishing_techniques#Other_techniques
Meat,मांस,https://en.wikipedia.org/wiki/Meat
Cantaloupe,खरबूजा,https://en.wikipedia.org/wiki/Cantaloupe
Sheep Shearing,भेड़ कर्तन,https://en.wikipedia.org/wiki/Sheep_farming#Shearing
Jute Production in India and worldwide,भारत और दुनिया भर में जूट उत्पादन,http://www.worldjute.com/jute_statistics/statwj.html
Pineapple,अनन्नास,https://en.wikipedia.org/wiki/Pineapple
Cereals,अनाज,https://www.google.com/search?q=cereal+cultivation&rlz=1C1RXQR_enIN973IN973&oq=cereals+cult&aqs=chrome.1.69i57j0i10l5j0i10i22i30l3j0i22i30.8110j1j7&sourceid=chrome&ie=UTF-8
Rubber Production in India and worldwide,भारत और दुनिया भर में रबड़ का उत्पादन,https://www.statista.com/statistics/275397/caoutchouc-production-in-leading-countries/
French Beans,फ्रेंच बीन्स,https://en.wikipedia.org/wiki/Green_bean
Saffron,केसर,https://en.wikipedia.org/wiki/Saffron
Pm Kusum Scheme,पीएम कुसुम योजना,https://en.wikipedia.org/wiki/Pm_Kusum_Scheme
National Scheme of Welfare of Fishermen,मछुआरों के कल्याण की राष्ट्रीय योजना,https://vikaspedia.in/schemesall/schemes-for-farmers/national-scheme-of-welfare-of-fishermen
Poultry Production in india,भारत में कुक्कुट उत्पादन,"https://www.pashudhanpraharee.com/status-of-poultry-production-in-india/#:~:text=Total%20poultry%20feed%20production%20of,cr%20or%20USD%2015.38%20bn.&text=Poultry%20is%20one%20of%20the,percent%20growth%20rate%20per%20annum."
Honey,शहद,https://en.wikipedia.org/wiki/Honey
Sunflower,सूरजमुखी,https://agmarknet.gov.in/Others/Sunflower_profile.pdf
Bee,मधुमक्खी,https://en.wikipedia.org/wiki/Bee
Foxtail Millet (Kakum/Kangni),फॉक्सटेल बाजरा (काकुम/कंगनी),https://milletadvisor.com/foxtail-millet-farming/
Rubber technology,रबड़ प्रौद्योगिकी,https://en.wikipedia.org/wiki/Rubber_technology
Semolina,सूजी,https://en.wikipedia.org/wiki/Semolina#Production
Tea price,चाय की कीमत,https://dir.indiamart.com/impcat/tea.html
KCC for animal husbandry and fisheries,पशुपालन और मत्स्य पालन के लिए केसीसी,https://vikaspedia.in/schemesall/schemes-for-farmers/kcc-for-animal-husbandry-and-fisheries
Ground nut,मूंगफली,https://www.startupyo.com/what-is-the-best-way-to-start-a-peanut-groundnut-oil-business-in-india/
Lentils,मसूर की दाल,"https://vikaspedia.in/agriculture/crop-production/package-of-practices/pulses/lentil-rabi#:~:text=Well%20drained%2C%20loam%20soils%20with,cross%20harrowing%20should%20be%20done."
Sheep Slaughter,भेड़ वध,https://en.wikipedia.org/wiki/Sheep_farming#Slaughter
Names of insecticides or pesticides,कीटनाशकों या कीटनाशकों के नाम,https://en.wikipedia.org/wiki/Insecticide
Tropical agriculture,उष्णकटिबंधीय कृषि,https://en.wikipedia.org/wiki/Tropical_agriculture
Agricultural land,कृषि भूमि,https://en.wikipedia.org/wiki/Agricultural_land
Harvest processing,फसल प्रसंस्करण,https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/postharvest-processing
Sprayer,छिड़कनेवाला यंत्र,https://en.wikipedia.org/wiki/Sprayer
Technical challenges of irrigation,सिंचाई की तकनीकी चुनौतियां,https://en.wikipedia.org/wiki/Irrigation#Technical_challenges
Plough,हल,https://en.wikipedia.org/wiki/Plough
Advisory for buying agri tools,कृषि उपकरण खरीदने के लिए सलाह,https://www.indofarm.in/blog/how-to-choose-the-best-agriculture-and-farming-equipment-in-india/index.html
Mint,पुदीना,https://www.agrifarming.in/mint-farming
Domestic goats,घरेलू बकरियां,https://en.wikipedia.org/wiki/Domestic_goat
Field day (agriculture),फील्ड डे (कृषि),https://en.wikipedia.org/wiki/Field_day_(agriculture)
Data Analysis in Agriculture & Biology,कृषि और जीव विज्ञान में डेटा विश्लेषण,https://data-flair.training/blogs/data-science-in-agriculture/
Agrophysics,कृषि भौतिकी,https://en.wikipedia.org/wiki/Agrophysics
Wood products/ Uses,लकड़ी के उत्पाद / उपयोग,https://en.wikipedia.org/wiki/Wood#Uses
Mace,गदा,"http://www.indiamace.com/india-mace/#:~:text=Mace%20Plant%20and%20Cultivation,should%20be%20between%201500%2D2500mm.&text=Trees%20will%20start%20to%20bear,five%20to%20seven%20years%20old."
Orchard,ऑर्चर्ड,https://en.wikipedia.org/wiki/Orchard
Harvest festivals in India‎,भारत में फसल उत्सव,https://traveltriangle.com/blog/harvest-festivals-of-india/
Nerium Oleander,नेरियम ओलियंडर,"https://agritech.tnau.ac.in/horticulture/horti_flower%20crops_nerium.html#:~:text=Climate%3A%20Tropical%20and%20subtropical%20conditions.&text=Red%20lateritic%20or%20black%20or,are%20suitable%20for%20nerium%20cultivation.&text=Hard%20or%20semi%20hard%20woodcuttings,the%20soil%20forming%20an%20arch."
Coffee price,कॉफी की कीमत,https://www.indiacoffee.org/Market_Info.aspx
Tea Cultivation and harvesting,चाय की खेती और कटाई,https://en.wikipedia.org/wiki/Tea#Cultivation_and_harvesting
Liquid manure/slurry spreader,तरल खाद / घोल स्प्रेडर,https://en.wikipedia.org/wiki/Liquid_manure_spreader
Broccoli,ब्रॉकली,https://agricultureguruji.com/broccoli-farming/
Annual crops production in India,भारत में वार्षिक फसलों का उत्पादन,https://agricoop.nic.in/sites/default/files/pocketbook_0.pdf
Substrates (growing support materials)-hydroponics,सबस्ट्रेट्स (बढ़ती समर्थन सामग्री) -हाइड्रोपोनिक्स,https://en.wikipedia.org/wiki/Hydroponics#Substrates_(growing_support_materials)
Winnowing machine,विनोइंग मशीन,https://en.wikipedia.org/wiki/Winnowing_machine
Roller,बेलन,https://en.wikipedia.org/wiki/Roller_(agricultural_tool)
Cattle Breeds,मवेशियों की नस्लें,https://en.wikipedia.org/wiki/Dairy_cattle#Breeds
Sago,साबूदाना,https://indieseducation.com/how-is-sabudana-made-in-india-complete-process/
Cotton Types,कपास के प्रकार,https://en.wikipedia.org/wiki/Cotton#Types
Avocado,एवोकाडो,https://www.fao.org/3/x6902e/x6902e06.htm
Herbicides,herbicides,https://en.wikipedia.org/wiki/Herbicides
Papermaking,कागज,https://en.wikipedia.org/wiki/Paper#Papermaking
Agri: Market prices,कृषि: बाजार मूल्य,https://agmarknet.gov.in/PriceAndArrivals/DatewiseCommodityReport.aspx
Tulip,ट्यूलिप,"https://www.agrifarming.in/tulip-cultivation#:~:text=Tulip%20cultivation%20is%20limited%20in,long%20chilling%20requirement%20for%20bulbs.&text=Actually%2C%20Tulips%20are%20spring%2Dblooming%20perennials%20that%20grow%20from%20bulbs."
Alligators,घड़ियाल,https://en.wikipedia.org/wiki/Alligator
Sickle,दरांती,https://en.wikipedia.org/wiki/Sickle
Plantation Agriculture,वृक्षारोपण कृषि,https://www.britannica.com/topic/plantation-agriculture
Wheat farms in India,भारत में गेहूं के खेत,https://www.intechopen.com/chapters/67311
Honey bee life cycle,मधुमक्खी जीवन चक्र,https://en.wikipedia.org/wiki/Honey_bee_life_cycle
Agri licence,कृषि लाइसेंस,https://www.india.gov.in/topics/agriculture/agricultural-licence
Trees of India,भारत के पेड़,https://en.wikipedia.org/wiki/Trees_of_India
Sugarcane process,गन्ना प्रक्रिया,https://www.sugar.org/blog/refining-and-processing-sugar-cane/
Annuals Plants,वार्षिक पौधे,https://en.wikipedia.org/wiki/Annual_plant
Split Bengal gram,विभाजित बंगाल चना,https://www.apnikheti.com/en/pn/agriculture/crops/pulses/bengal-gram-chickpea
Cotton picker,कपास बीनने वाला,https://en.wikipedia.org/wiki/Cotton_picker
Region/state wise flower productions in India,भारत में क्षेत्र/राज्यवार पुष्प उत्पादन,https://www.indiastat.com/data/agriculture/total-flowers/data-year/all-years
Lemon,नींबू,https://en.wikipedia.org/wiki/Lemon
Cowpeas,लोबिया,https://www.britannica.com/plant/cowpea
Sweet Potatoes,मीठे आलू,"https://www.apnikheti.com/en/pn/agriculture/horticulture/vegetable-crops/sweet-potato#:~:text=It%20is%20grown%20in%20variety,not%20good%20for%20tuber%20development."
Migrant worker,प्रवासी कर्मचारी,https://en.wikipedia.org/wiki/Migrant_worker
Hyacinth,ह्यचीन्थ,https://www.almanac.com/plant/growing-hyacinth-muscari
Acai Berry,Açai berry,https://www.urbangardengal.com/how-to-grow-acai-berries/
Chia,चिया,https://en.wikipedia.org/wiki/Salvia_hispanica
Shifting Agriculture,स्थानांतरण कृषि,https://www.britannica.com/topic/shifting-agriculture
Crustaceans,क्रसटेशियन,https://en.wikipedia.org/wiki/Aquaculture#Crustaceans
Biogas powerplant,बायोगैस पावरप्लांट,https://en.wikipedia.org/wiki/Biogas_powerplant
Safflower oil,कुसुम तेल,https://www.agrifarming.in/safflower-cultivation
Insects As feed and food,फ़ीड और भोजन के रूप में कीड़े,https://www.fao.org/edible-insects/en/
Orange,संतरा,https://www.agrifarming.in/orange-farming
Mariculture Environmental effects,समुद्री कृषि पर्यावरणीय प्रभाव,https://en.wikipedia.org/wiki/Mariculture#Environmental_effects
Common fruit diseases,आम फल रोग,https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/fruit-diseases
Sericulture Types,रेशम उत्पादन के प्रकार,https://en.wikipedia.org/wiki/Bombyx_mori#Types
Price of agricultural equipments,कृषि उपकरणों की कीमत,https://dir.indiamart.com/impcat/agricultural-equipment.html
Domestic sheep,घरेलू भेड़,https://en.wikipedia.org/wiki/Sheep
Pulp and paper industry,लुगदी और कागज उद्योग,https://en.wikipedia.org/wiki/Pulp_and_paper_industry
Greenshouse Types,ग्रीनहाउस प्रकार,https://en.wikipedia.org/wiki/Greenhouse#Types
